GBRMPA_group;SHORT_NAME;GBRMPA_water_area;Measure;GL.Season;Location;GL;DirectionOfFailure
2;"RM10,TUL3,TUL5,TUL6,TUL8";Open Coastal waters;NTU;Annual;Median;0.9;H
2;"RM10,TUL3,TUL5,TUL6,TUL8";Open Coastal waters;SECCHI_DEPTH.wm;Dry;;;L
2;"RM10,TUL3,TUL5,TUL6,TUL8";Open Coastal waters;SECCHI_DEPTH.wm;Wet;;;L
2;"RM10,TUL3,TUL5,TUL6,TUL8";Open Coastal waters;SECCHI_DEPTH.wm;Annual;Mean;10;L
2;"RM10,TUL3,TUL5,TUL6,TUL8";Open Coastal waters;TSS_MGPERL.wm;Dry;Median;1.6;H
2;"RM10,TUL3,TUL5,TUL6,TUL8";Open Coastal waters;TSS_MGPERL.wm;Wet;Median;2.4;H
2;"RM10,TUL3,TUL5,TUL6,TUL8";Open Coastal waters;TSS_MGPERL.wm;Annual;Mean;2;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;NOx.wm;Dry;;;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;NOx.wm;Wet;;;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;NOx.wm;Annual;Median;0.31;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;PN.wm;Dry;Median;16;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;PN.wm;Wet;Median;25;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;PN.wm;Annual;Median;14;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;PO4.wm;Dry;;;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;PO4.wm;Wet;;;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;PO4.wm;Annual;Median;2;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;PP.wm;Dry;Median;2.3;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;PP.wm;Wet;Median;3.3;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;PP.wm;Annual;Median;2;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;DRIFTCHL_UGPERL.wm;Dry;Median;0.32;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;DRIFTCHL_UGPERL.wm;Wet;Median;0.63;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;DRIFTCHL_UGPERL.wm;Annual;Median;0.3;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;NTU;Dry;;;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;NTU;Wet;;;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;NTU;Annual;Median;0.6;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;SECCHI_DEPTH.wm;Dry;;;L
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;SECCHI_DEPTH.wm;Wet;;;L
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;SECCHI_DEPTH.wm;Annual;Median;9;L
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;TSS_MGPERL.wm;Dry;Median;1.6;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;TSS_MGPERL.wm;Wet;Median;2.4;H
3;"C4,C5,C11,RM3,RM7,TUL2";Midshelf waters;TSS_MGPERL.wm;Annual;Median;1.1;H
5;TUL10;Lower estuarine waters;NOx.wm;Dry;;;H
5;TUL10;Lower estuarine waters;NOx.wm;Wet;;;H
5;TUL10;Lower estuarine waters;NOx.wm;Annual;Median;10;H
5;TUL10;Lower estuarine waters;PN.wm;Dry;;;H
5;TUL10;Lower estuarine waters;PN.wm;Wet;;;H
5;TUL10;Lower estuarine waters;PN.wm;Annual;;;H
5;TUL10;Lower estuarine waters;PO4.wm;Dry;;;H
5;TUL10;Lower estuarine waters;PO4.wm;Wet;;;H
5;TUL10;Lower estuarine waters;PO4.wm;Annual;Median;5;H
5;TUL10;Lower estuarine waters;PP.wm;Dry;;;H
5;TUL10;Lower estuarine waters;PP.wm;Wet;;;H
5;TUL10;Lower estuarine waters;PP.wm;Annual;;;H
5;TUL10;Lower estuarine waters;DRIFTCHL_UGPERL.wm;Dry;;;H
5;TUL10;Lower estuarine waters;DRIFTCHL_UGPERL.wm;Wet;;;H
5;TUL10;Lower estuarine waters;DRIFTCHL_UGPERL.wm;Annual;Median;2;H
5;TUL10;Lower estuarine waters;NTU;Dry;;;H
5;TUL10;Lower estuarine waters;NTU;Wet;;;H
5;TUL10;Lower estuarine waters;NTU;Annual;Median;10;H
5;TUL10;Lower estuarine waters;SECCHI_DEPTH.wm;Dry;;;L
5;TUL10;Lower estuarine waters;SECCHI_DEPTH.wm;Wet;;;L
5;TUL10;Lower estuarine waters;SECCHI_DEPTH.wm;Annual;Median;1;L
5;TUL10;Lower estuarine waters;TSS_MGPERL.wm;Dry;;;H
5;TUL10;Lower estuarine waters;TSS_MGPERL.wm;Wet;;;H
5;TUL10;Lower estuarine waters;TSS_MGPERL.wm;Annual;;;H
6;"BUR1,BUR2";Open Coastal waters;NOx.wm;Dry;;;H
6;"BUR1,BUR2";Open Coastal waters;NOx.wm;Wet;;;H
6;"BUR1,BUR2";Open Coastal waters;NOx.wm;Annual;Median;0.28;H
6;"BUR1,BUR2";Open Coastal waters;PN.wm;Dry;Median;16;H
6;"BUR1,BUR2";Open Coastal waters;PN.wm;Wet;Median;25;H
6;"BUR1,BUR2";Open Coastal waters;PN.wm;Annual;Mean;20;H
6;"BUR1,BUR2";Open Coastal waters;PO4.wm;Dry;;;H
6;"BUR1,BUR2";Open Coastal waters;PO4.wm;Wet;;;H
6;"BUR1,BUR2";Open Coastal waters;PO4.wm;Annual;Median;2;H
6;"BUR1,BUR2";Open Coastal waters;PP.wm;Dry;Median;2.3;H
6;"BUR1,BUR2";Open Coastal waters;PP.wm;Wet;Median;3.3;H
6;"BUR1,BUR2";Open Coastal waters;PP.wm;Annual;Mean;2.8;H
6;"BUR1,BUR2";Open Coastal waters;DRIFTCHL_UGPERL.wm;Dry;Median;0.32;H
6;"BUR1,BUR2";Open Coastal waters;DRIFTCHL_UGPERL.wm;Wet;Median;0.63;H
6;"BUR1,BUR2";Open Coastal waters;DRIFTCHL_UGPERL.wm;Annual;Mean;0.45;H
6;"BUR1,BUR2";Open Coastal waters;NTU;Dry;;;H
6;"BUR1,BUR2";Open Coastal waters;NTU;Wet;;;H
6;"BUR1,BUR2";Open Coastal waters;NTU;Annual;Median;0.8;H
6;"BUR1,BUR2";Open Coastal waters;SECCHI_DEPTH.wm;Dry;;;L
6;"BUR1,BUR2";Open Coastal waters;SECCHI_DEPTH.wm;Wet;;;L
6;"BUR1,BUR2";Open Coastal waters;SECCHI_DEPTH.wm;Annual;Mean;10;L
6;"BUR1,BUR2";Open Coastal waters;TSS_MGPERL.wm;Dry;Median;1.6;H
6;"BUR1,BUR2";Open Coastal waters;TSS_MGPERL.wm;Wet;Median;2.4;H
6;"BUR1,BUR2";Open Coastal waters;TSS_MGPERL.wm;Annual;Mean;2;H
8;BUR4;Open Coastal waters;NOx.wm;Dry;;;H
8;BUR4;Open Coastal waters;NOx.wm;Wet;;;H
8;BUR4;Open Coastal waters;NOx.wm;Annual;Median;0.35;H
8;BUR4;Open Coastal waters;PN.wm;Dry;;;H
8;BUR4;Open Coastal waters;PN.wm;Wet;;;H
8;BUR4;Open Coastal waters;PN.wm;Annual;Median;17;H
8;BUR4;Open Coastal waters;PO4.wm;Dry;;;H
8;BUR4;Open Coastal waters;PO4.wm;Wet;;;H
8;BUR4;Open Coastal waters;PO4.wm;Annual;Median;1;H
8;BUR4;Open Coastal waters;PP.wm;Dry;;;H
8;BUR4;Open Coastal waters;PP.wm;Wet;;;H
8;BUR4;Open Coastal waters;PP.wm;Annual;Mean;2.8;H
8;BUR4;Open Coastal waters;DRIFTCHL_UGPERL.wm;Dry;;;H
8;BUR4;Open Coastal waters;DRIFTCHL_UGPERL.wm;Wet;;;H
8;BUR4;Open Coastal waters;DRIFTCHL_UGPERL.wm;Annual;Median;0.59;H
8;BUR4;Open Coastal waters;NTU;Dry;;;H
8;BUR4;Open Coastal waters;NTU;Wet;;;H
8;BUR4;Open Coastal waters;NTU;Annual;Median;1.3;H
8;BUR4;Open Coastal waters;SECCHI_DEPTH.wm;Dry;;;L
8;BUR4;Open Coastal waters;SECCHI_DEPTH.wm;Wet;;;L
8;BUR4;Open Coastal waters;SECCHI_DEPTH.wm;Annual;Median;4;L
8;BUR4;Open Coastal waters;TSS_MGPERL.wm;Dry;;;H
8;BUR4;Open Coastal waters;TSS_MGPERL.wm;Wet;;;H
8;BUR4;Open Coastal waters;TSS_MGPERL.wm;Annual;Median;1.9;H
10;BUR7;Open Coastal waters;NOx.wm;Dry;;;H
10;BUR7;Open Coastal waters;NOx.wm;Wet;;;H
10;BUR7;Open Coastal waters;NOx.wm;Annual;Median;0.42;H
10;BUR7;Open Coastal waters;PN.wm;Dry;Mean ;16;H
10;BUR7;Open Coastal waters;PN.wm;Wet;Mean;25;H
10;BUR7;Open Coastal waters;PN.wm;Annual;Median;13;H
